cancer_type,gene,cancer_carriers,cancer_total,control_carriers,control_total,cancer_freq_pct,control_freq_pct,enrichment,odds_ratio,p_value,q_value,significant
Colorectal,RAD51D,1,3610,11,30000,0.02770083102493075,0.03666666666666667,0.76,0.755,1.0,1.0,False
Colorectal,RET,2,3610,8,30000,0.0554016620498615,0.02666666666666667,2.08,2.078,0.29269160229669533,0.6247839972102535,False
Colorectal,SDHA,4,3610,20,30000,0.110803324099723,0.06666666666666667,1.66,1.663,0.31886139608087316,0.6445613828043124,False
Colorectal,SDHB,2,3610,8,30000,0.0554016620498615,0.02666666666666667,2.08,2.078,0.29269160229669533,0.6247839972102535,False
Colorectal,SDHD,0,3610,0,30000,0.0,0.0,inf,,1.0,1.0,False
Colorectal,TP53,1,3610,9,30000,0.02770083102493075,0.03,0.92,0.923,1.0,1.0,False
Colorectal,VHL,1,3610,2,30000,0.02770083102493075,0.006666666666666667,4.16,4.156,0.2888625308321372,0.6247839972102535,False
Colorectal,RB1,1,3610,0,30000,0.02770083102493075,0.0,inf,inf,0.10740850937221065,0.3414283999311366,False
Colorectal,SMAD4,0,3610,1,30000,0.0,0.0033333333333333335,0.0,0.0,1.0,1.0,False
Kidney,APC,2,2454,5,30000,0.08149959250203749,0.016666666666666666,4.89,4.893,0.09301924398673098,0.3204841472774034,False
Kidney,ATM,10,2454,73,30000,0.40749796251018744,0.24333333333333335,1.67,1.677,0.14010773260273798,0.39561012510408444,False
Kidney,BAP1,3,2454,15,30000,0.12224938875305623,0.05,2.44,2.447,0.15087833600065684,0.39561012510408444,False
Kidney,BARD1,1,2454,8,30000,0.040749796251018745,0.02666666666666667,1.53,1.528,0.5072373387746814,0.889000177957731,False
Kidney,BRCA1,5,2454,41,30000,0.20374898125509372,0.13666666666666666,1.49,1.492,0.3941165673021859,0.7542575684576317,False
Kidney,BRCA2,12,2454,58,30000,0.4889975550122249,0.19333333333333333,2.53,2.537,0.005922261133253892,0.03944225914747092,True
Kidney,BRIP1,2,2454,17,30000,0.08149959250203749,0.05666666666666667,1.44,1.439,0.6510302857621314,1.0,False
Kidney,CDH1,0,2454,3,30000,0.0,0.01,0.0,0.0,1.0,1.0,False
Kidney,CDKN2A,1,2454,7,30000,0.040749796251018745,0.023333333333333334,1.75,1.747,0.46691860142315644,0.8496387665241043,False
Kidney,CHEK2,4,2454,23,30000,0.16299918500407498,0.07666666666666667,2.13,2.128,0.1432069454998191,0.39561012510408444,False
Kidney,EPCAM,0,2454,2,30000,0.0,0.006666666666666667,0.0,0.0,1.0,1.0,False
Kidney,FH,9,2454,3,30000,0.36674816625916873,0.01,36.67,36.806,1.4208431686323972e-08,3.6395444242660634e-07,True
Kidney,FLCN,5,2454,4,30000,0.20374898125509372,0.013333333333333334,15.28,15.31,0.00023947191379085635,0.002492004602886099,True
Kidney,KIT,0,2454,1,30000,0.0,0.0033333333333333335,0.0,0.0,1.0,1.0,False
Kidney,MET,1,2454,0,30000,0.040749796251018745,0.0,inf,inf,0.07561471621371788,0.28548249701175216,False
